date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:35:07 AM	0.00	108880.585937	NaN	0.269615	NaN	
12/13/2016	11:35:17 AM	9.95	52354.007812	NaN	1.589735	NaN	
12/13/2016	11:35:27 AM	19.94	256977.093750	NaN	0.350780	NaN	
12/13/2016	11:35:37 AM	29.98	241900.625000	NaN	0.330678	NaN	
12/13/2016	11:35:47 AM	39.94	240539.343750	NaN	0.341388	NaN	
12/13/2016	11:35:57 AM	50.00	243622.062500	NaN	0.355267	NaN	
12/13/2016	11:36:07 AM	59.95	242959.046875	NaN	0.311488	NaN	
12/13/2016	11:36:17 AM	70.00	246421.343750	NaN	0.331913	NaN	
12/13/2016	11:36:27 AM	80.00	227715.312500	NaN	0.325623	NaN	
12/13/2016	11:36:37 AM	90.20	151137.015625	NaN	1.699674	NaN	
12/13/2016	11:36:47 AM	100.47	86566.851562	NaN	0.837974	NaN	
12/13/2016	11:36:57 AM	110.39	47928.187500	NaN	1.080447	NaN	
12/13/2016	11:37:07 AM	120.78	27420.007812	NaN	1.173710	NaN	
12/13/2016	11:37:17 AM	129.89	20356.798828	NaN	1.192369	NaN	
12/13/2016	11:37:26 AM	139.16	16259.484375	NaN	1.099729	NaN	
12/13/2016	11:37:36 AM	149.14	14818.623047	NaN	1.329021	NaN	
12/13/2016	11:37:45 AM	158.31	12779.040039	NaN	1.053662	NaN	
12/13/2016	11:37:55 AM	168.17	14458.859375	NaN	1.077180	NaN	
12/13/2016	11:38:05 AM	178.16	13541.324219	NaN	0.815533	NaN	
12/13/2016	11:38:14 AM	187.47	12727.638672	NaN	1.309917	NaN	
12/13/2016	11:38:24 AM	197.16	14042.208008	NaN	1.110211	NaN	
12/13/2016	11:38:33 AM	206.45	13384.750977	NaN	1.562649	NaN	
12/13/2016	11:38:43 AM	216.48	15640.732422	NaN	1.023467	NaN	
12/13/2016	11:38:53 AM	226.36	14026.562500	NaN	1.198371	NaN	
12/13/2016	11:39:02 AM	235.70	15176.057617	NaN	1.047516	NaN	
12/13/2016	11:39:12 AM	245.19	14951.492187	NaN	2.283327	NaN	
12/13/2016	11:39:21 AM	254.36	13934.239258	NaN	1.038306	NaN	
12/13/2016	11:39:30 AM	263.72	15078.692383	NaN	1.174501	NaN	
12/13/2016	11:39:40 AM	273.30	15823.991211	NaN	1.246094	NaN	
12/13/2016	11:39:50 AM	283.48	16176.629883	NaN	0.875432	NaN	
12/13/2016	11:40:00 AM	293.50	15073.445312	NaN	1.236236	NaN	
12/13/2016	11:40:10 AM	303.34	16036.150391	NaN	1.386335	NaN	
12/13/2016	11:40:20 AM	313.62	14197.263672	NaN	1.050266	NaN	
12/13/2016	11:40:30 AM	323.17	11781.356445	NaN	1.120628	NaN	
12/13/2016	11:40:40 AM	333.12	7456.829102	NaN	0.980494	NaN	
12/13/2016	11:40:49 AM	342.28	5578.518066	NaN	1.165339	NaN	
12/13/2016	11:40:59 AM	352.17	3632.962891	NaN	0.957269	NaN	
12/13/2016	11:41:08 AM	361.28	3369.432373	NaN	0.873316	NaN	
12/13/2016	11:41:18 AM	371.23	2211.481201	NaN	0.754269	NaN	
12/13/2016	11:41:28 AM	381.17	1488.180176	NaN	0.705319	NaN	
12/13/2016	11:41:38 AM	391.28	950.945251	NaN	1.093685	NaN	
12/13/2016	11:41:48 AM	401.23	245.342072	NaN	0.509158	NaN	
12/13/2016	11:41:58 AM	411.17	105.646805	NaN	0.506782	NaN	
12/13/2016	11:42:08 AM	421.34	46.154373	NaN	0.387790	NaN	
12/13/2016	11:42:18 AM	431.33	46.469814	NaN	0.642882	NaN	
12/13/2016	11:42:28 AM	441.28	50.748344	NaN	0.442180	NaN	
12/13/2016	11:42:38 AM	451.25	12.684982	NaN	0.578453	NaN	
12/13/2016	11:42:48 AM	461.23	12.658195	NaN	0.894321	NaN	
12/13/2016	11:42:58 AM	471.37	52.981018	NaN	0.811502	NaN	
12/13/2016	11:43:08 AM	481.33	254.444778	NaN	0.883826	NaN	
12/13/2016	11:43:18 AM	491.31	90.258690	NaN	1.104038	NaN	
12/13/2016	11:43:27 AM	500.44	56.313042	NaN	0.709839	NaN	
12/13/2016	11:43:37 AM	510.37	118.261292	NaN	0.947720	NaN	
12/13/2016	11:43:47 AM	520.33	281.565674	NaN	1.087753	NaN	
12/13/2016	11:43:57 AM	530.34	79.278488	NaN	0.771965	NaN	
