date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	2:15:00 PM	0.00	19944.445312	NaN	0.953801	NaN	
12/13/2016	2:15:01 PM	0.69	26359.611328	NaN	0.811819	NaN	
12/13/2016	2:15:02 PM	1.91	22372.009766	NaN	1.323172	NaN	
12/13/2016	2:15:03 PM	2.78	16305.387695	NaN	0.899829	NaN	
12/13/2016	2:15:04 PM	3.81	18877.839844	NaN	1.373697	NaN	
12/13/2016	2:15:05 PM	5.14	19532.281250	NaN	0.877376	NaN	
12/13/2016	2:15:06 PM	5.83	15558.091797	NaN	1.062759	NaN	
12/13/2016	2:15:07 PM	7.11	18852.748047	NaN	0.960365	NaN	
12/13/2016	2:15:08 PM	7.84	17890.763672	NaN	0.363105	NaN	
12/13/2016	2:15:09 PM	9.17	18639.984375	NaN	0.844934	NaN	
12/13/2016	2:15:10 PM	9.86	18705.740234	NaN	0.931349	NaN	
12/13/2016	2:15:11 PM	11.11	17267.939453	NaN	1.179418	NaN	
12/13/2016	2:15:12 PM	11.84	16896.468750	NaN	1.166669	NaN	
12/13/2016	2:15:13 PM	13.06	22380.857422	NaN	1.527442	NaN	
12/13/2016	2:15:14 PM	13.70	21449.367187	NaN	0.717759	NaN	
12/13/2016	2:15:15 PM	15.05	13395.413086	NaN	1.081201	NaN	
12/13/2016	2:15:16 PM	15.73	16822.517578	NaN	0.993496	NaN	
12/13/2016	2:15:17 PM	16.98	16686.355469	NaN	0.670432	NaN	
12/13/2016	2:15:18 PM	17.66	18319.810547	NaN	0.501637	NaN	
12/13/2016	2:15:19 PM	18.95	18616.851562	NaN	0.899777	NaN	
12/13/2016	2:15:20 PM	19.66	20796.728516	NaN	1.420449	NaN	
12/13/2016	2:15:21 PM	20.91	23005.480469	NaN	1.107995	NaN	
12/13/2016	2:15:22 PM	22.16	18989.066406	NaN	1.765743	NaN	
12/13/2016	2:15:23 PM	22.83	18991.341797	NaN	1.300926	NaN	
12/13/2016	2:15:24 PM	24.14	20671.902344	NaN	0.367880	NaN	
12/13/2016	2:15:25 PM	24.84	18958.576172	NaN	2.088677	NaN	
12/13/2016	2:15:26 PM	26.11	18341.652344	NaN	0.826840	NaN	
12/13/2016	2:15:27 PM	26.81	21480.632812	NaN	1.044011	NaN	
12/13/2016	2:15:28 PM	28.17	23207.417969	NaN	0.789726	NaN	
12/13/2016	2:15:29 PM	28.86	18884.521484	NaN	0.382028	NaN	
12/13/2016	2:15:30 PM	30.16	16845.015625	NaN	0.859528	NaN	
12/13/2016	2:15:31 PM	30.84	25263.339844	NaN	1.978258	NaN	
12/13/2016	2:15:32 PM	32.14	21540.337891	NaN	2.207662	NaN	
12/13/2016	2:15:33 PM	32.81	21457.417969	NaN	0.823018	NaN	
12/13/2016	2:15:34 PM	34.05	20773.515625	NaN	0.494743	NaN	
12/13/2016	2:15:35 PM	34.78	15888.585937	NaN	0.874446	NaN	
12/13/2016	2:15:36 PM	35.94	20421.599609	NaN	2.082828	NaN	
12/13/2016	2:15:37 PM	36.64	22095.482422	NaN	0.753614	NaN	
12/13/2016	2:15:38 PM	37.94	18471.724609	NaN	0.314609	NaN	
12/13/2016	2:15:39 PM	38.64	14816.844727	NaN	0.494003	NaN	
12/13/2016	2:15:40 PM	39.89	18957.261719	NaN	0.337456	NaN	
12/13/2016	2:15:41 PM	41.23	14584.343750	NaN	1.107149	NaN	
12/13/2016	2:15:42 PM	41.89	18348.625000	NaN	0.789948	NaN	
12/13/2016	2:15:43 PM	43.09	18394.474609	NaN	0.386169	NaN	
12/13/2016	2:15:44 PM	43.77	27413.375000	NaN	1.918853	NaN	
12/13/2016	2:15:45 PM	45.08	16135.839844	NaN	1.584175	NaN	
12/13/2016	2:15:46 PM	45.75	24548.162109	NaN	0.999019	NaN	
12/13/2016	2:15:47 PM	47.06	29702.386719	NaN	1.277384	NaN	
12/13/2016	2:15:48 PM	47.77	21986.373047	NaN	1.145717	NaN	
12/13/2016	2:15:49 PM	48.92	23456.396484	NaN	1.224917	NaN	
12/13/2016	2:15:50 PM	50.12	25609.929687	NaN	1.802042	NaN	
12/13/2016	2:15:51 PM	50.72	26528.207031	NaN	1.038718	NaN	
12/13/2016	2:15:52 PM	52.02	21118.626953	NaN	1.361218	NaN	
12/13/2016	2:15:53 PM	52.69	14949.026367	NaN	0.967906	NaN	
12/13/2016	2:15:54 PM	53.91	19428.048828	NaN	0.381816	NaN	
12/13/2016	2:15:55 PM	55.17	26435.638672	NaN	1.295475	NaN	
12/13/2016	2:15:56 PM	55.83	24695.472656	NaN	0.706647	NaN	
12/13/2016	2:15:57 PM	57.11	27729.300781	NaN	1.312827	NaN	
12/13/2016	2:15:58 PM	57.77	25453.136719	NaN	0.657011	NaN	
12/13/2016	2:15:59 PM	59.00	26179.130859	NaN	0.394191	NaN	
