date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	2:00:01 PM	0.00	109911.257812	NaN	0.960940	NaN	
12/13/2016	2:00:02 PM	1.17	86725.617187	NaN	1.329981	NaN	
12/13/2016	2:00:02 PM	1.84	77067.101562	NaN	1.079044	NaN	
12/13/2016	2:00:04 PM	3.06	102780.843750	NaN	1.237770	NaN	
12/13/2016	2:00:04 PM	3.78	72026.492187	NaN	1.011016	NaN	
12/13/2016	2:00:06 PM	5.00	83683.617187	NaN	1.116834	NaN	
12/13/2016	2:00:07 PM	6.22	94515.671875	NaN	1.263835	NaN	
12/13/2016	2:00:07 PM	6.94	91411.062500	NaN	0.864192	NaN	
12/13/2016	2:00:09 PM	8.16	79730.414062	NaN	1.064801	NaN	
12/13/2016	2:00:09 PM	8.84	77779.304687	NaN	1.349989	NaN	
12/13/2016	2:00:11 PM	10.11	69268.304687	NaN	1.175054	NaN	
12/13/2016	2:00:11 PM	10.73	84016.187500	NaN	1.226749	NaN	
12/13/2016	2:00:12 PM	11.87	120508.476562	NaN	0.962613	NaN	
12/13/2016	2:00:14 PM	13.08	81965.507812	NaN	1.143334	NaN	
12/13/2016	2:00:14 PM	13.91	68180.203125	NaN	1.098628	NaN	
12/13/2016	2:00:15 PM	14.87	81455.125000	NaN	1.380087	NaN	
12/13/2016	2:00:17 PM	16.03	71818.726562	NaN	1.518152	NaN	
12/13/2016	2:00:18 PM	17.16	80906.750000	NaN	1.552268	NaN	
12/13/2016	2:00:18 PM	17.77	77500.085937	NaN	2.616638	NaN	
12/13/2016	2:00:19 PM	18.95	78388.664062	NaN	1.004097	NaN	
12/13/2016	2:00:21 PM	20.00	85073.664062	NaN	0.965724	NaN	
12/13/2016	2:00:22 PM	21.11	74362.820312	NaN	0.857506	NaN	
12/13/2016	2:00:23 PM	22.20	84222.367187	NaN	1.171778	NaN	
12/13/2016	2:00:23 PM	22.78	90165.234375	NaN	0.945583	NaN	
12/13/2016	2:00:24 PM	23.91	103756.726562	NaN	0.882091	NaN	
12/13/2016	2:00:26 PM	25.02	111745.125000	NaN	1.084675	NaN	
12/13/2016	2:00:27 PM	26.17	107252.921875	NaN	0.954294	NaN	
12/13/2016	2:00:27 PM	26.78	123949.062500	NaN	0.880493	NaN	
12/13/2016	2:00:28 PM	27.98	105777.882812	NaN	0.695579	NaN	
12/13/2016	2:00:30 PM	29.19	108141.234375	NaN	0.750773	NaN	
12/13/2016	2:00:30 PM	29.89	95192.757812	NaN	0.816351	NaN	
12/13/2016	2:00:32 PM	31.03	98360.335937	NaN	1.111065	NaN	
12/13/2016	2:00:33 PM	32.23	105703.210937	NaN	0.728933	NaN	
12/13/2016	2:00:33 PM	32.91	103154.617187	NaN	1.155052	NaN	
12/13/2016	2:00:35 PM	34.09	109061.460937	NaN	1.022876	NaN	
12/13/2016	2:00:36 PM	35.30	113028.648437	NaN	0.978480	NaN	
12/13/2016	2:00:36 PM	35.94	122020.625000	NaN	0.998821	NaN	
12/13/2016	2:00:38 PM	37.12	110867.375000	NaN	1.094727	NaN	
12/13/2016	2:00:38 PM	37.92	107470.890625	NaN	0.768953	NaN	
12/13/2016	2:00:39 PM	38.98	101453.679687	NaN	1.073414	NaN	
12/13/2016	2:00:41 PM	40.19	115067.226562	NaN	0.990551	NaN	
12/13/2016	2:00:41 PM	40.84	110470.250000	NaN	1.336509	NaN	
12/13/2016	2:00:43 PM	42.03	105681.734375	NaN	0.790317	NaN	
12/13/2016	2:00:44 PM	43.20	119608.906250	NaN	0.930846	NaN	
12/13/2016	2:00:44 PM	43.87	97231.835937	NaN	0.891963	NaN	
12/13/2016	2:00:46 PM	45.00	123528.578125	NaN	0.976714	NaN	
12/13/2016	2:00:47 PM	46.17	85544.007812	NaN	1.001711	NaN	
12/13/2016	2:00:47 PM	46.84	90192.539062	NaN	0.876668	NaN	
12/13/2016	2:00:49 PM	48.00	117563.054687	NaN	0.849694	NaN	
