date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:35:07 AM	0.00	5029.344727	NaN	0.305374	NaN	
12/13/2016	11:35:08 AM	0.95	595.506958	NaN	0.343234	NaN	
12/13/2016	11:35:09 AM	2.02	0.000000	NaN	NaN	NaN	
12/13/2016	11:35:10 AM	2.92	51778.753906	NaN	1.963764	NaN	
12/13/2016	11:35:11 AM	4.06	23173.039062	NaN	0.345189	NaN	
12/13/2016	11:35:12 AM	4.95	5917.557617	NaN	0.590579	NaN	
12/13/2016	11:35:13 AM	6.05	84.626137	NaN	0.342278	NaN	
12/13/2016	11:35:14 AM	6.89	887.276001	NaN	0.528989	NaN	
12/13/2016	11:35:15 AM	7.97	0.000000	NaN	NaN	NaN	
12/13/2016	11:35:16 AM	8.94	36833.824219	NaN	1.603178	NaN	
12/13/2016	11:35:17 AM	9.95	120729.640625	NaN	1.699776	NaN	
12/13/2016	11:35:18 AM	10.92	128682.523437	NaN	2.968400	NaN	
12/13/2016	11:35:19 AM	11.92	102307.148437	NaN	2.377914	NaN	
12/13/2016	11:35:20 AM	12.95	119292.859375	NaN	0.322688	NaN	
12/13/2016	11:35:21 AM	14.00	110210.226562	NaN	1.910768	NaN	
12/13/2016	11:35:22 AM	14.95	107571.171875	NaN	0.332994	NaN	
12/13/2016	11:35:23 AM	16.00	123005.351562	NaN	0.326232	NaN	
12/13/2016	11:35:24 AM	16.94	102407.726562	NaN	0.349443	NaN	
12/13/2016	11:35:25 AM	18.00	94219.507812	NaN	3.187763	NaN	
12/13/2016	11:35:26 AM	18.95	103687.812500	NaN	1.658175	NaN	
12/13/2016	11:35:27 AM	19.94	99578.242187	NaN	1.884212	NaN	
12/13/2016	11:35:28 AM	21.02	93330.828125	NaN	1.741076	NaN	
12/13/2016	11:35:29 AM	21.95	98191.898437	NaN	2.758546	NaN	
12/13/2016	11:35:30 AM	22.95	109412.171875	NaN	0.321047	NaN	
12/13/2016	11:35:31 AM	23.97	107123.085937	NaN	2.794993	NaN	
12/13/2016	11:35:32 AM	24.95	85611.687500	NaN	1.630664	NaN	
12/13/2016	11:35:33 AM	25.95	101407.789062	NaN	0.372928	NaN	
12/13/2016	11:35:34 AM	26.95	104218.015625	NaN	0.342448	NaN	
12/13/2016	11:35:35 AM	27.97	104641.906250	NaN	0.329809	NaN	
12/13/2016	11:35:36 AM	28.97	108395.468750	NaN	0.383595	NaN	
12/13/2016	11:35:37 AM	29.98	106112.296875	NaN	0.329347	NaN	
12/13/2016	11:35:38 AM	30.94	96901.390625	NaN	2.219785	NaN	
12/13/2016	11:35:39 AM	31.95	101934.007812	NaN	1.945353	NaN	
12/13/2016	11:35:40 AM	33.00	91412.976562	NaN	0.351297	NaN	
12/13/2016	11:35:41 AM	33.98	111000.367187	NaN	0.322275	NaN	
12/13/2016	11:35:42 AM	35.00	95506.093750	NaN	0.325136	NaN	
12/13/2016	11:35:43 AM	35.97	97499.242187	NaN	1.660744	NaN	
12/13/2016	11:35:44 AM	36.95	108258.554687	NaN	0.359421	NaN	
12/13/2016	11:35:45 AM	38.00	86948.523437	NaN	0.330445	NaN	
12/13/2016	11:35:46 AM	39.00	112375.554687	NaN	3.460500	NaN	
12/13/2016	11:35:47 AM	39.94	110414.890625	NaN	2.382904	NaN	
12/13/2016	11:35:48 AM	41.00	113111.703125	NaN	2.957041	NaN	
12/13/2016	11:35:49 AM	42.00	113014.773437	NaN	0.343735	NaN	
12/13/2016	11:35:50 AM	42.98	103762.585937	NaN	1.725526	NaN	
12/13/2016	11:35:51 AM	44.02	103188.820312	NaN	1.605720	NaN	
12/13/2016	11:35:52 AM	44.98	95778.601562	NaN	1.993841	NaN	
12/13/2016	11:35:53 AM	46.05	100452.750000	NaN	0.337774	NaN	
12/13/2016	11:35:54 AM	47.02	110549.265625	NaN	0.337846	NaN	
12/13/2016	11:35:55 AM	48.00	94538.632812	NaN	2.378467	NaN	
12/13/2016	11:35:56 AM	48.97	101713.484375	NaN	1.957534	NaN	
12/13/2016	11:35:57 AM	50.00	92795.343750	NaN	1.495154	NaN	
12/13/2016	11:35:58 AM	50.98	93458.156250	NaN	0.353168	NaN	
12/13/2016	11:35:59 AM	52.02	101293.437500	NaN	0.328372	NaN	
12/13/2016	11:36:00 AM	53.06	108411.257812	NaN	0.378794	NaN	
12/13/2016	11:36:01 AM	54.00	103733.390625	NaN	0.328394	NaN	
12/13/2016	11:36:02 AM	54.94	118003.257812	NaN	0.335936	NaN	
12/13/2016	11:36:03 AM	56.03	87473.484375	NaN	0.325970	NaN	
12/13/2016	11:36:04 AM	57.03	88464.437500	NaN	0.357565	NaN	
12/13/2016	11:36:05 AM	57.97	113599.765625	NaN	0.353516	NaN	
12/13/2016	11:36:06 AM	58.98	106906.281250	NaN	0.320639	NaN	
12/13/2016	11:36:07 AM	59.95	120926.726562	NaN	0.326958	NaN	
12/13/2016	11:36:08 AM	61.00	108987.156250	NaN	0.375756	NaN	
12/13/2016	11:36:09 AM	61.98	113644.351562	NaN	2.378284	NaN	
12/13/2016	11:36:10 AM	63.03	106498.710937	NaN	1.278625	NaN	
12/13/2016	11:36:11 AM	63.98	97641.765625	NaN	2.408427	NaN	
12/13/2016	11:36:12 AM	64.97	115141.757812	NaN	0.334018	NaN	
12/13/2016	11:36:13 AM	66.00	112568.015625	NaN	1.950398	NaN	
12/13/2016	11:36:14 AM	67.00	105475.289062	NaN	2.380852	NaN	
12/13/2016	11:36:15 AM	68.02	81861.687500	NaN	1.826913	NaN	
12/13/2016	11:36:16 AM	68.98	105383.562500	NaN	0.324741	NaN	
12/13/2016	11:36:17 AM	70.00	92237.859375	NaN	2.791088	NaN	
12/13/2016	11:36:18 AM	71.02	95792.695312	NaN	1.753630	NaN	
12/13/2016	11:36:19 AM	71.97	109346.000000	NaN	2.057045	NaN	
12/13/2016	11:36:20 AM	73.03	98878.890625	NaN	0.320661	NaN	
12/13/2016	11:36:21 AM	74.02	105026.851562	NaN	2.009088	NaN	
12/13/2016	11:36:22 AM	75.00	107306.382812	NaN	0.344846	NaN	
12/13/2016	11:36:23 AM	76.00	98622.656250	NaN	0.323414	NaN	
