date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:35:07 AM	0.00	108880.585937	NaN	0.269615	NaN	
12/13/2016	11:35:08 AM	0.95	4852.537109	NaN	0.269739	NaN	
12/13/2016	11:35:09 AM	2.02	0.000000	NaN	NaN	NaN	
12/13/2016	11:35:10 AM	2.92	114990.093750	NaN	1.875692	NaN	
12/13/2016	11:35:11 AM	4.06	45462.003906	NaN	0.323940	NaN	
12/13/2016	11:35:12 AM	4.95	7399.666016	NaN	0.584467	NaN	
12/13/2016	11:35:13 AM	6.05	84.626137	NaN	0.342278	NaN	
12/13/2016	11:35:14 AM	6.89	1183.677979	NaN	0.526181	NaN	
12/13/2016	11:35:15 AM	7.97	0.000000	NaN	NaN	NaN	
12/13/2016	11:35:16 AM	8.94	76186.187500	NaN	1.408020	NaN	
12/13/2016	11:35:17 AM	9.95	273381.281250	NaN	0.342745	NaN	
12/13/2016	11:35:18 AM	10.92	289331.343750	NaN	1.830469	NaN	
12/13/2016	11:35:19 AM	11.92	263363.937500	NaN	0.337604	NaN	
12/13/2016	11:35:20 AM	12.95	270760.937500	NaN	0.303970	NaN	
12/13/2016	11:35:21 AM	14.00	260993.828125	NaN	1.795838	NaN	
12/13/2016	11:35:22 AM	14.95	251990.156250	NaN	0.308548	NaN	
12/13/2016	11:35:23 AM	16.00	266387.843750	NaN	0.306968	NaN	
12/13/2016	11:35:24 AM	16.94	238051.078125	NaN	0.315754	NaN	
12/13/2016	11:35:25 AM	18.00	237518.250000	NaN	2.314877	NaN	
12/13/2016	11:35:26 AM	18.95	252974.890625	NaN	0.347503	NaN	
12/13/2016	11:35:27 AM	19.94	238398.687500	NaN	1.758817	NaN	
12/13/2016	11:35:28 AM	21.02	218817.031250	NaN	0.338221	NaN	
12/13/2016	11:35:29 AM	21.95	253602.609375	NaN	1.930090	NaN	
12/13/2016	11:35:30 AM	22.95	244165.671875	NaN	0.303601	NaN	
12/13/2016	11:35:31 AM	23.97	241592.031250	NaN	2.011982	NaN	
12/13/2016	11:35:32 AM	24.95	233110.843750	NaN	0.340920	NaN	
12/13/2016	11:35:33 AM	25.95	233756.531250	NaN	0.325321	NaN	
12/13/2016	11:35:34 AM	26.95	237300.281250	NaN	0.315728	NaN	
12/13/2016	11:35:35 AM	27.97	241869.453125	NaN	0.306996	NaN	
12/13/2016	11:35:36 AM	28.97	257807.796875	NaN	0.323251	NaN	
12/13/2016	11:35:37 AM	29.98	256984.000000	NaN	0.307560	NaN	
12/13/2016	11:35:38 AM	30.94	224042.734375	NaN	1.508370	NaN	
12/13/2016	11:35:39 AM	31.95	244945.109375	NaN	1.731046	NaN	
12/13/2016	11:35:40 AM	33.00	237168.859375	NaN	0.314617	NaN	
12/13/2016	11:35:41 AM	33.98	244611.390625	NaN	0.304616	NaN	
12/13/2016	11:35:42 AM	35.00	234557.250000	NaN	0.303587	NaN	
12/13/2016	11:35:43 AM	35.97	247152.546875	NaN	0.325145	NaN	
12/13/2016	11:35:44 AM	36.95	239214.078125	NaN	0.326971	NaN	
12/13/2016	11:35:45 AM	38.00	230499.171875	NaN	0.304655	NaN	
12/13/2016	11:35:46 AM	39.00	252377.328125	NaN	3.430556	NaN	
12/13/2016	11:35:47 AM	39.94	250824.906250	NaN	0.335126	NaN	
12/13/2016	11:35:48 AM	41.00	246029.546875	NaN	1.739186	NaN	
12/13/2016	11:35:49 AM	42.00	251673.515625	NaN	0.317960	NaN	
12/13/2016	11:35:50 AM	42.98	233948.937500	NaN	1.687579	NaN	
12/13/2016	11:35:51 AM	44.02	241115.187500	NaN	0.342230	NaN	
12/13/2016	11:35:52 AM	44.98	234680.234375	NaN	1.932665	NaN	
12/13/2016	11:35:53 AM	46.05	242019.578125	NaN	0.312226	NaN	
12/13/2016	11:35:54 AM	47.02	255776.171875	NaN	0.313006	NaN	
12/13/2016	11:35:55 AM	48.00	238406.250000	NaN	0.352605	NaN	
12/13/2016	11:35:56 AM	48.97	249104.250000	NaN	0.348429	NaN	
12/13/2016	11:35:57 AM	50.00	243467.046875	NaN	0.333933	NaN	
12/13/2016	11:35:58 AM	50.98	235827.609375	NaN	0.315028	NaN	
12/13/2016	11:35:59 AM	52.02	243414.171875	NaN	0.306547	NaN	
12/13/2016	11:36:00 AM	53.06	254070.421875	NaN	0.321989	NaN	
12/13/2016	11:36:01 AM	54.00	245926.953125	NaN	0.306516	NaN	
12/13/2016	11:36:02 AM	54.94	252337.703125	NaN	0.313267	NaN	
12/13/2016	11:36:03 AM	56.03	231089.421875	NaN	0.302405	NaN	
12/13/2016	11:36:04 AM	57.03	227723.984375	NaN	0.316932	NaN	
12/13/2016	11:36:05 AM	57.97	249632.640625	NaN	0.324143	NaN	
12/13/2016	11:36:06 AM	58.98	242583.953125	NaN	0.303358	NaN	
12/13/2016	11:36:07 AM	59.95	246983.656250	NaN	0.308515	NaN	
12/13/2016	11:36:08 AM	61.00	250691.796875	NaN	0.328109	NaN	
12/13/2016	11:36:09 AM	61.98	263047.718750	NaN	0.336581	NaN	
12/13/2016	11:36:10 AM	63.03	245296.421875	NaN	0.337150	NaN	
12/13/2016	11:36:11 AM	63.98	237544.562500	NaN	0.369305	NaN	
